Texto,Precio_Kg,Precio_Lt
80 Oaxaca San Sebastián Tecomaxtlahuaca ,19.61,10.59
80 Oaxaca Santa Cruz de Bravo ,19.61,10.59
80 Oaxaca Santa Lucía Monteverde ,19.61,10.59
80 Oaxaca Santa María Yucuhiti ,19.61,10.59
80 Oaxaca Santiago del Río ,19.61,10.59
80 Oaxaca Santiago Juxtlahuaca ,19.61,10.59
80 Oaxaca Santiago Nuyoó ,19.61,10.59
80 Oaxaca Santiago Tamazola ,19.61,10.59
80 Oaxaca Santiago Yucuyachi ,19.61,10.59
80 Oaxaca Santo Tomás Ocotepec ,19.61,10.59
80 Oaxaca Silacayoápam ,19.61,10.59
80 Oaxaca Mesones Hidalgo ,19.61,10.59
80 Oaxaca San Antonio Tepetlapa ,19.61,10.59
80 Oaxaca San Juan Cacahuatepec ,19.61,10.59
80 Oaxaca San Pedro Amuzgos ,19.61,10.59
80 Oaxaca Santa María Ipalapa ,19.61,10.59
80 Oaxaca Santa María Zacatepec ,19.61,10.59
80 Puebla Ixcamilpa de Guerrero ,19.61,10.59
80 Guerrero Santa Cruz del Rincón ,19.61,10.59
81 Guerrero Coahuayutla de José María Izazaga ,20.25,10.93
81 Guerrero La Unión de Isidoro Montes de Oca ,20.25,10.93
81 Guerrero Petatlán ,20.25,10.93
81 Guerrero Zihuatanejo de Azueta ,20.25,10.93
82 Hidalgo Almoloya ,19.87,10.73
82 Hidalgo Apan ,19.87,10.73
82 Hidalgo Emiliano Zapata ,19.87,10.73
82 Tlaxcala Benito Juárez ,19.87,10.73
82 Tlaxcala Españita ,19.87,10.73
82 Tlaxcala Nanacamilpa de Mariano Arista ,19.87,10.73
82 Tlaxcala Sanctórum de Lázaro Cárdenas ,19.87,10.73
83 Hidalgo Atitalaquia ,19.16,10.35
84 Hidalgo Acatlán ,19.61,10.59
84 Hidalgo Acaxochitlán ,19.61,10.59
84 Hidalgo Actopan ,19.61,10.59
84 Hidalgo Agua Blanca de Iturbide ,19.61,10.59
84 Hidalgo Ajacuba ,19.61,10.59
84 Hidalgo Alfajayucan ,19.61,10.59
84 Hidalgo Atotonilco de Tula ,19.61,10.59
84 Hidalgo Atotonilco el Grande ,19.61,10.59
84 Hidalgo Cardonal ,19.61,10.59
84 Hidalgo Chapantongo ,19.61,10.59
84 Hidalgo Chilcuautla ,19.61,10.59
84 Hidalgo Cuautepec de Hinojosa ,19.61,10.59
84 Hidalgo El Arenal ,19.61,10.59
84 Hidalgo Eloxochitlán ,19.61,10.59
84 Hidalgo Epazoyucan ,19.61,10.59
84 Hidalgo Francisco I. Madero ,19.61,10.59
